Location,Category,Raw_Complaint_Text,Translated_Text_EN
Avaniapuram,Roads,There is a structural design mismatch in the speed breakers of the Avaniapuram highway approach layout causing vehicle bounce crashes without signboards.,There is a structural design mismatch in the speed breakers of the Avaniapuram highway approach layout causing vehicle bounce crashes without signboards.
Sholavandan,Water Supply,Irrigation channels at the Sholavandan railway line border are blocked with silt formation disrupting tank water distribution and causing agricultural blocks.,Irrigation channels at the Sholavandan railway line border are blocked with silt formation disrupting tank water distribution and causing agricultural blocks.
Samayanallur,Electricity,Line feeders are overloaded at the Samayanallur power sub station causing a manual trip frequently every 2 hours leading to an unscheduled blackout.,Line feeders are overloaded at the Samayanallur power sub station causing a manual trip frequently every 2 hours leading to an unscheduled blackout.
Othakadai,Roads,Gravel erosion on the service roads of Othakadai links bypass junction is causing heavy dust pollution and visual blind spots during evening.,Gravel erosion on the service roads of Othakadai links bypass junction is causing heavy dust pollution and visual blind spots during evening.
AlagarKovil,Sanitation,Plastic bottle heap accumulations are found at the Alagar Kovil temple downhill parking areas showing a tourist waste management loop failure.,Plastic bottle heap accumulations are found at the Alagar Kovil temple downhill parking areas showing a tourist waste management loop failure.
Karuppayurani,Water Supply,There is an agricultural pipeline network leak in Karuppayurani causing open wells to overflow and a drinking bore wells water contamination danger.,There is an agricultural pipeline network leak in Karuppayurani causing open wells to overflow and a drinking bore wells water contamination danger.
Yanamalai,Sanitation,Construction material debris dumping at the Yanamalai archaeological site border zones is causing natural path blocks and heavy aesthetic damage.,Construction material debris dumping at the Yanamalai archaeological site border zones is causing natural path blocks and heavy aesthetic damage.
Melur,Roads,The single lane road at Melur main bazaar is completely broken with aggregate stones scattered posing a two wheelers skidding control risk.,The single lane road at Melur main bazaar is completely broken with aggregate stones scattered posing a two wheelers skidding control risk.
SikkandarChavadi,Electricity,Tree branches are growing and directly intersecting live high tension lines on Sikkandar Chavadi main street causing circuit sparks during wind.,Tree branches are growing and directly intersecting live high tension lines on Sikkandar Chavadi main street causing circuit sparks during wind.
NagalaPuram,Water Supply,There is a bore pump failure in the ground water extraction systems of Nagalapuram layout with the motor coil burnt leading to dry supply lines.,There is a bore pump failure in the ground water extraction systems of Nagalapuram layout with the motor coil burnt leading to dry supply lines.
Pasumalai,Roads,Retaining wall erosion on the curve side of Pasumalai hill climbing path is causing landslide rocks falling onto driving tracks creating hazardous blocks.,Retaining wall erosion on the curve side of Pasumalai hill climbing path is causing landslide rocks falling onto driving tracks creating hazardous blocks.
